season,holiday,workday,weather,temp,hum,windspeed,cnt_2d_bfr,cnt
2,0,0,1,4.494151,39.4167,14.041257,1865,2496
2,0,0,2,3.893021,49.3913,12.3481,2210,1693
2,0,1,1,4.424356,30.2174,14.217668,2496,2028
2,0,1,1,6.2175,31.4167,15.208732,1693,2425
2,0,1,2,6.1,64.6667,11.583496,2028,1536
2,0,1,3,4.611651,91.8333,14.582282,2425,1685
2,0,1,2,6.1,68.625,17.333436,1536,2227
2,0,0,2,6.805,65.375,13.208782,1685,2252
2,0,0,1,9.781651,48,12.208271,2227,3249
2,0,1,1,18.946651,42.625,25.833257,2252,3115
2,0,1,2,11.465849,64.2083,26.000489,3249,1795
2,0,1,1,10.369151,47.0833,17.625221,3115,2808
2,0,1,1,12.5625,60.2917,10.874904,1795,3141
2,0,1,2,7.784151,83.625,15.208464,2808,1471
2,0,0,2,8.0975,87.75,8.916561,3141,2455
2,0,0,2,12.053349,85.75,9.833389,1471,2895
2,0,1,2,19.995644,71.6956,21.739758,2455,3348
2,0,1,2,15.6175,73.9167,18.416893,2895,2034
2,0,1,2,11.3875,81.9167,16.791339,3348,2162
2,0,1,1,13.9725,54.0417,7.4169,2034,3267
2,1,0,1,12.993349,67.125,15.167125,2162,3126
2,0,0,3,12.249151,88.8333,22.834136,3267,795
2,0,0,1,13.463349,47.9583,20.334232,3126,3744
2,0,1,1,16.0875,54.25,10.958989,795,3429
2,0,1,2,15.774151,66.5833,10.584057,3744,3204
2,0,1,1,19.965,61.4167,16.208975,3429,3944
2,0,1,1,13.580849,40.7083,21.792286,3204,4189
2,0,1,2,7.823349,72.9583,14.707907,3944,1683
2,0,0,2,13.62,88.7917,15.458575,4189,4036
2,0,0,2,19.338349,81.0833,12.875725,1683,4191
2,0,1,1,20.513349,77.6667,12.417311,4036,4073
2,0,1,1,21.688349,72.9167,21.8755,4191,4400
2,0,1,2,21.14,83.5417,20.9174,4073,3872
2,0,1,2,21.0225,70.0833,21.500836,4400,4058
2,0,1,1,15.97,45.7083,16.084221,3872,4595
2,0,0,1,14.2075,50.3333,15.750025,4058,5312
2,0,0,2,13.228349,76.2083,7.125718,4595,3351
2,0,1,2,17.810849,73,12.291418,5312,4401
2,0,1,2,20.983349,69.7083,22.958689,3351,4451
2,0,1,2,11.465849,73.7083,22.042732,4401,2633
2,0,1,1,13.580849,44.4167,19.791264,4451,4433
2,0,1,1,14.520849,59,15.292482,2633,4608
2,0,0,1,16.44,54.125,10.75015,4433,4714
2,0,0,1,16.831651,63.1667,5.0007125,4608,4333
2,0,1,1,17.0275,58.875,11.792,4714,4362
2,0,1,1,17.0275,48.9167,7.749957,4333,4803
2,0,1,1,17.4975,63.2917,8.083014,4362,4182
2,0,1,1,17.145,74.75,12.707689,4803,4864
2,0,1,2,16.0875,86.3333,12.041575,4182,4105
2,0,0,2,16.479151,92.25,9.04165,4864,3409
2,0,0,2,18.4375,86.7083,10.249593,4105,4553
2,0,1,1,19.1425,78.7917,8.500357,3409,3958
2,0,1,2,18.398349,83.7917,18.582718,4553,4123
2,0,1,2,17.85,87,13.499964,3958,3855
2,0,1,2,16.949151,82.9583,7.250271,4123,4575
2,0,1,1,17.223349,71.9583,8.375871,3855,4917
2,0,0,1,20.3175,62.6667,8.08355,4575,5805
2,0,0,1,20.395849,74.9583,9.916536,4917,4660
2,0,1,2,21.688349,81,15.667414,5805,4274
2,0,1,2,23.02,74.0833,13.875164,4660,4492
2,0,1,1,23.059151,69.625,10.333611,4274,4978
2,0,1,1,25.291651,67.75,13.376014,4492,4677
2,0,1,1,24.038349,65.375,16.125493,4978,4679
2,0,0,1,22.824151,72.9583,15.416164,4677,4758
2,0,0,1,23.3725,81.875,14.333846,4679,4788
2,1,0,1,26.466651,68.5,8.792075,4758,4098
2,0,1,1,28.425,63.6667,7.459043,4788,3982
2,0,1,2,27.915849,67.7083,13.875164,4098,3974
2,0,1,1,25.605,30.5,19.583229,3982,4968
2,0,1,1,21.14,35.4167,16.959107,3974,5312
2,0,0,1,21.845,45.625,8.250514,4968,5342
2,0,0,2,22.471651,65.25,9.292364,5312,4906
2,0,1,1,23.881651,60,8.167032,5342,4548
2,0,1,1,25.2525,59.7917,12.583136,4906,4833
2,0,1,1,28.464151,62.2083,9.166739,4548,4401
2,0,1,2,29.991651,56.8333,10.042161,4833,3915
2,0,1,1,27.485,60.5,9.417118,4401,4586
2,0,0,1,26.075,65.4583,10.37495,3915,4966
2,0,0,1,24.5475,74.7917,10.958989,4586,4460
2,0,1,1,21.845,49.4583,20.45845,4966,5020
2,0,1,1,20.395849,50.7083,18.041961,4460,4891
2,0,1,1,21.453349,47.1667,11.250104,5020,5180
2,0,1,2,21.531651,68.8333,13.833557,4891,3767
2,0,1,1,22.510849,73.5833,9.582943,5180,4844
2,0,0,1,24.743349,67.0417,8.000336,3767,5119
2,0,0,2,24.860849,66.6667,6.834,4844,4744
2,0,1,2,21.845,74.625,10.416825,5119,4010
3,0,1,2,23.999151,77.0417,11.458675,4744,4835
3,0,1,1,26.466651,70.75,11.541554,4010,4507
3,0,1,2,26.231651,70.3333,15.999868,4835,4790
3,0,1,1,26.035849,57.3333,14.875675,4507,4991
3,0,0,1,24.665,48.3333,14.041257,4790,5202
3,0,0,1,23.96,51.3333,6.3337311,4991,5305
3,0,1,2,24.0775,65.8333,7.208396,5202,4708
3,0,1,1,26.975849,63.4167,9.666961,5305,4648
3,0,1,1,26.231651,49.7917,17.542007,4708,5225
3,0,1,1,24.743349,43.4167,12.415904,4648,5515
3,0,1,1,25.9575,39.625,6.874736,5225,5362
3,0,0,1,26.701651,44.4583,7.709154,5515,5119
3,0,0,2,25.683349,68.25,15.333486,5362,4649
3,1,0,2,26.153349,63.7917,5.4591064,5119,6043
3,0,1,1,27.093349,59.0417,8.459286,4649,4665
3,0,1,1,25.84,74.3333,10.042161,6043,4629
3,0,1,1,27.25,65.125,10.6664,4665,4592
3,0,1,2,25.330849,75.7917,15.083643,4629,4040
3,0,0,1,26.466651,60.9167,11.250104,4592,5336
3,0,0,1,27.1325,57.8333,12.292557,4040,4881
3,0,1,1,27.8375,63.5833,18.916579,5336,4086
3,0,1,1,29.325849,55.9167,13.417018,4881,4258
3,0,1,1,27.093349,63.1667,9.790911,4086,4342
3,0,1,1,23.999151,47.625,16.124689,4258,5084
3,0,1,1,23.176651,59.125,12.249811,4342,5538
3,0,0,1,24.273349,58.5,13.958914,5084,5923
3,0,0,1,25.800849,60.4167,16.417211,5538,5302
3,0,1,1,27.093349,65.125,14.458868,5923,4458
3,0,1,1,28.503349,65.0417,8.7502,5302,4541
3,0,1,1,28.111651,70.7083,7.625739,4458,4332
3,0,1,2,30.305,69.125,14.875407,4541,3784
3,0,1,1,31.871651,58.0417,8.9177,4332,3387
3,0,0,1,31.910849,50,8.791807,3784,3285
3,0,0,1,31.01,55.0833,11.334457,3387,3606
3,0,1,1,26.936651,75.7083,6.0841561,3285,3840
3,0,1,1,28.268349,54.0833,13.417286,3606,4590
3,0,1,1,28.425,40.2917,12.292021,3840,4656
3,0,1,1,28.620849,58.3333,11.958093,4590,4390
3,0,1,1,31.401651,54.25,11.667246,4656,3846
3,0,0,1,29.795849,46.5833,11.291979,4390,4475
3,0,0,1,29.874151,48.0833,11.042471,3846,4302
3,0,1,1,28.268349,55.0833,10.500039,4475,4266
3,0,1,1,28.816651,49.125,13.79195,4302,4845
3,0,1,2,26.388349,65.75,9.084061,4266,3574
3,0,1,2,25.37,75.75,13.20905,4845,4576
3,0,1,1,25.409151,63.0833,12.374632,3574,4866
3,0,0,2,25.683349,75.5,15.29275,4576,4294
3,0,0,1,26.8975,75.2917,13.499629,4866,3785
3,0,1,1,27.955,59.2083,12.875725,4294,4326
3,0,1,1,28.425,57.0417,10.125107,3785,4602
3,0,1,1,28.033349,42.4167,13.417286,4326,4780
3,0,1,1,25.7225,42.375,11.041332,4602,4792
3,0,1,1,25.291651,41.5,8.416607,4780,4905
3,0,0,2,24.234151,72.9583,14.167418,4792,4150
3,0,0,2,23.803349,81.75,14.916411,4905,3820
3,0,1,1,23.294151,71.2083,13.999918,4150,4338
3,0,1,1,24.939151,57.8333,15.834043,3820,4725
3,0,1,1,25.996651,57.5417,9.625689,4338,4694
3,0,1,1,25.448349,65.4583,15.624936,4725,3805
3,0,1,2,24.195,72.2917,9.333636,4694,4153
3,0,0,1,24.7825,67.4167,6.999289,3805,5191
3,0,0,1,25.409151,77,16.666518,4153,3873
3,0,1,1,24.508349,47,18.54225,5191,4758
3,0,1,1,22.119151,45.5417,9.833121,3873,5895
3,0,1,1,23.646651,60.5,16.958236,4758,5130
3,0,1,2,24.155849,77.1667,14.125811,5895,3542
3,0,1,1,24.9,76.125,5.6254875,5130,4661
3,0,0,2,23.96,85,25.166339,3542,1115
3,0,0,1,25.231773,56.1765,20.412153,4661,4334
3,0,1,1,21.923349,55.4583,10.708275,1115,4634
3,0,1,1,22.040849,54.8333,8.375536,4334,5204
3,0,1,1,22.863349,59.7917,5.5833311,4634,5058
3,0,1,1,22.785,63.9167,9.500332,5204,5115
3,0,1,2,22.236651,72.7083,9.375243,5058,4727
3,0,0,1,23.450849,71.6667,12.416775,5115,4484
3,0,0,1,25.330849,74.2083,13.833289,4727,4940
3,1,0,2,23.646651,79.0417,14.250632,4484,3351
3,0,1,3,17.38,88.6957,23.044181,4940,2710
3,0,1,3,20.160849,91.7083,6.5003936,3351,1996
3,0,1,3,21.793911,93.9565,12.914116,2710,1842
3,0,1,2,22.55,89.7917,8.333393,1996,3544
3,0,0,1,23.02,75.375,10.291736,1842,5345
3,0,0,1,22.706651,71.375,7.708618,3544,5046
3,0,1,1,22.284356,69.2174,5.957171,5345,4713
3,0,1,1,22.589151,71.25,9.500868,5046,4763
3,0,1,1,23.646651,69.7083,11.2091,4713,4785
3,0,1,2,19.1425,70.9167,18.166782,4763,3659
3,0,1,2,14.050849,59.0417,11.000261,4785,4760
3,0,0,2,15.108349,71.8333,12.708225,3659,4511
3,0,0,1,15.8525,69.5,11.958361,4760,4274
3,0,1,2,17.810849,69,10.166714,4511,4539
3,0,1,2,18.398349,88.125,9.041918,4274,3641
3,0,1,2,19.965,90,6.4590814,4539,4352
3,0,1,2,21.531651,90.2083,8.584375,3641,4795
4,0,1,2,20.630849,97.25,5.2505689,4352,2395
4,0,0,2,20.513349,86.25,5.2516811,4795,5423
4,0,0,2,21.805849,84.5,3.3754064,2395,5010
4,0,1,2,22.510849,84.8333,7.4169,5423,4630
4,0,1,2,21.923349,88.5417,7.917457,5010,4120
4,0,1,2,21.845,84.875,9.958143,4630,3907
4,0,1,1,20.983349,69.9167,11.583161,4120,4839
4,0,1,1,18.515849,64.75,13.833825,3907,5202
4,0,0,2,11.27,75.375,19.583832,4839,2429
4,0,0,2,8.763349,79.1667,14.874871,5202,2918
4,0,1,2,10.055849,76.0833,5.5841686,2429,3570
4,0,1,1,14.755849,71,13.792218,2918,4456
4,0,1,1,17.301651,64.7917,11.87575,3570,4826
4,0,1,1,15.225849,62.0833,9.041918,4456,4765
4,0,1,1,16.009151,68.4167,1.5002439,4826,4985
4,0,0,1,16.518349,70.125,3.0420814,4765,5409
4,0,0,1,17.419151,72.75,4.25115,4985,5511
4,1,0,1,18.829151,73.375,2.8343814,5409,5117
4,0,1,2,18.633349,80.875,9.583814,5511,4563
4,0,1,3,17.536651,90.625,16.62605,5117,2416
4,0,1,2,19.690849,89.6667,9.499729,4563,2913
4,0,1,2,17.889151,71.625,15.000161,2416,3644
4,0,0,1,15.813349,48.3333,17.291561,2913,5217
4,0,0,1,16.048349,48.6667,18.875039,3644,5041
4,0,1,1,17.105849,57.9583,11.750393,5217,4570
4,0,1,2,17.0275,70.1667,7.375829,5041,4748
4,0,1,3,17.461733,89.5217,16.303713,4570,2424
4,0,1,1,14.364151,63.625,28.292425,4748,4195
4,0,1,1,12.0925,57.4167,14.833532,2424,4304
4,0,0,1,11.8575,62.9167,6.2086689,4195,4308
4,0,0,1,11.818349,74.125,6.6673375,4304,4381
4,0,1,1,13.776651,77.2083,7.959064,4308,4187
4,0,1,1,14.168349,62.2917,11.166086,4381,4687
4,0,1,2,14.755849,72.0417,9.959014,4187,3894
4,0,1,2,14.09,81.2917,13.250121,4687,2659
4,0,1,2,7.549151,58.5833,15.375093,3894,3747
4,0,0,3,3.945849,88.25,23.541857,2659,627
4,0,0,1,7.000849,62.375,11.833339,3747,3331
4,0,1,1,7.98,70.3333,7.12545,627,3669
4,0,1,1,10.839151,68.375,9.083257,3331,4068
4,0,1,1,9.7425,71.875,5.5001439,3669,4186
4,0,1,1,11.191651,70.2083,9.166739,4068,3974
4,0,1,2,10.956651,62.25,18.209193,4186,4046
4,0,0,1,7.353349,51.9167,12.667154,3974,3926
4,0,0,1,8.371651,73.4583,6.1676314,4046,3649
4,0,1,1,10.565,75.875,3.834075,3926,4035
4,0,1,1,11.191651,72.1667,4.6255125,3649,4205
4,0,1,1,10.8,75.8333,4.1671186,4035,4109
4,0,1,2,9.86,81.3333,12.667489,4205,2933
4,1,0,1,7.235849,44.625,21.083225,4109,3368
4,0,0,1,8.763349,55.2917,14.208154,2933,4067
4,0,0,1,12.719151,45.8333,18.875307,3368,3717
4,0,1,1,16.91,58.7083,20.541932,4067,4486
4,0,1,2,16.91,68.875,13.375411,3717,4195
4,0,1,3,13.463349,93,9.167543,4486,1817
4,0,1,2,8.058349,57.5833,20.459254,4195,3053
4,0,1,1,4.885849,41,11.291711,1817,3392
4,0,0,1,7.470849,50.2083,15.041232,3053,3663
4,0,0,2,13.776651,68.4583,12.45865,3392,3520
4,0,1,3,13.0325,91,9.249618,3663,2765
4,0,1,3,11.583349,96.25,7.959064,3520,1607
4,0,1,2,12.719151,75.7917,22.500275,2765,2566
4,1,0,1,9.546651,54.9167,11.209368,1607,1495
4,0,1,1,9.625,64.375,6.6260186,2566,2792
4,0,0,1,9.664151,68.1667,4.5841936,1495,3068
4,0,0,1,13.580849,69.8333,13.999918,2792,3071
4,0,1,1,15.663466,74.3043,9.522174,3068,3867
4,0,1,2,13.541651,83.0833,17.292164,3071,2914
4,0,1,1,7.275,61.3333,18.167586,3867,3613
4,0,1,1,6.6875,52.4583,14.750586,2914,3727
4,0,1,1,6.765849,62.5833,6.750518,3613,3940
4,0,0,1,6.060849,61.2917,6.4174811,3727,3614
4,0,0,1,7.549151,77.5833,5.6252061,3940,3485
4,0,1,2,10.134151,82.7083,4.1679561,3614,3811
4,0,1,3,13.7375,94.9583,15.583061,3485,2594
4,0,1,3,11.27,97.0417,17.833725,3811,705
4,0,1,1,4.494151,58,16.083886,2594,3322
4,0,1,1,5.669151,69.5833,5.5420189,705,3620
4,0,0,1,4.925,50.75,15.625807,3322,3190
4,0,0,1,2.379151,49,4.4582939,3620,2743
4,0,1,1,3.201651,67.0833,4.25115,3190,3310
4,0,1,1,5.2775,59,9.41685,2743,3523
4,0,1,2,6.9225,66.375,4.0842061,3310,3740
4,0,1,2,11.8575,63.4167,17.958814,3523,3709
4,0,1,2,9.625,50.0417,17.458525,3740,3577
4,0,0,2,4.141651,56.0833,16.292189,3709,2739
4,0,0,1,3.201651,58.625,11.375193,3577,2431
4,0,1,1,5.003349,63.75,11.584032,2739,3403
4,0,1,2,10.134151,59.5417,4.1252436,2431,3750
1,0,1,2,12.131651,85.8333,14.8338,3403,2660
1,0,1,2,11.896651,75.75,3.167425,3750,3068
1,0,1,1,9.546651,68.625,18.374482,2660,2209
1,0,0,1,6.2175,54.25,12.750368,3068,1011
1,0,0,1,4.914801,68.1304,10.391097,2209,754
1,1,0,1,7.121733,50.6957,16.044155,1011,1317
1,0,1,2,7.275,76.25,12.62615,754,1162
1,0,1,1,6.05911,50.3913,19.695387,1317,2302
1,0,1,1,3.671651,57.4167,8.000604,1162,2423
1,0,1,1,6.648349,63.6667,9.000579,2302,2999
1,0,0,1,11.27,61.5833,14.750318,2423,2485
1,0,0,1,9.39,69.25,12.875189,2999,2294
1,1,0,1,4.833021,38.1304,22.087555,2485,1951
1,0,1,1,-0.95,44.125,24.499957,2294,2236
1,0,1,2,-2.9475,41.4583,12.3749,1951,2368
1,0,1,1,4.494151,52.4167,8.709129,2236,3272
1,0,1,1,7.705849,54.2083,11.249836,2368,4098
1,0,0,1,10.486651,53.1667,11.708786,3272,4521
1,0,0,1,7.8625,46.5,12.833314,4098,3425
1,0,1,2,2.535849,70.1667,6.6263,4521,2376
1,0,1,1,6.508712,64.6522,12.565984,3425,3598
1,0,1,2,4.885849,84.75,8.791807,2376,2177
1,0,1,2,9.9775,80.2917,12.124789,3598,4097
1,0,1,1,4.885849,50.75,25.333236,2177,3214
1,0,0,1,0.46,45.75,12.541261,4097,2493
1,0,0,1,-0.166651,41.9167,16.834286,3214,2311
1,1,0,1,0.93,52.25,15.500986,2493,2298
1,0,1,2,9.533021,71.6087,23.39171,2311,2935
1,0,1,1,6.256651,44.3333,27.833743,2298,3376
1,0,1,1,0.93,49.75,14.750586,2935,3292
1,0,1,2,2.2225,45,13.58425,3376,3163
1,0,0,2,0.146651,83.125,14.917014,3292,1301
1,0,0,2,-0.3625,79.625,13.375746,3163,1977
1,0,1,2,2.261651,91.125,7.417436,1301,2432
1,0,1,1,8.0975,83.5833,8.292389,1977,4339
1,0,1,1,5.825849,64.375,10.791757,2432,4270
1,0,1,2,8.058349,76.9583,4.9175186,4339,4075
1,0,1,2,11.975,74.125,22.958689,4270,3456
1,0,0,1,6.844151,54.3333,14.125543,4075,4023
1,0,0,1,5.2775,31.125,16.08335,3456,3243
1,0,1,1,4.650849,40.0833,14.458064,4023,3624
1,0,1,1,10.33,41.6667,17.541739,3243,4509
1,0,1,1,14.050849,50.7917,12.667489,3624,4579
1,0,1,2,10.760849,67.2917,12.541529,4509,3761
1,0,1,1,6.726651,52.6667,11.959232,4579,4151
1,0,0,2,4.415849,77.9583,8.167032,3761,2832
1,0,0,2,4.494151,68.7917,11.791732,4151,2947
1,0,1,1,5.282623,62.2174,10.3046,2832,3784
1,0,1,1,8.645849,49.625,9.874393,2947,4375
1,0,1,2,4.063349,72.2917,8.959307,3784,2802
1,0,1,1,4.455,56.2083,13.000479,4375,3830
1,0,1,2,5.199151,54,7.834243,2802,3831
1,0,0,3,2.535849,73.125,19.416332,3830,2169
1,0,0,1,-2.0075,46.4583,27.417204,3831,1529
1,0,1,1,2.4575,41.125,11.207961,2169,3422
1,0,1,2,7.000849,50.875,9.458993,1529,3922
1,0,1,1,8.371651,53.125,12.1672,3422,4169
1,0,1,2,6.883349,75.2917,6.125475,3922,3005
1,0,1,1,8.136651,63.4583,13.791682,4169,4154
1,0,0,1,8.293349,53.4583,12.792243,3005,4318
1,0,0,2,5.16,51.5833,16.958504,4154,2689
1,1,0,1,5.16,50.7826,15.348561,4318,3129
1,0,1,1,5.527822,59.4348,13.783039,2689,3777
1,0,1,1,10.604151,56.7917,15.709557,3129,4773
1,0,1,1,13.345849,55.4583,12.791171,3777,5062
1,0,1,2,11.1525,73.75,15.916989,4773,3487
1,0,0,1,5.669151,39.5833,28.250014,5062,2732
1,0,0,1,5.120849,41,13.750343,3487,3389
1,0,1,1,9.233349,49.0833,17.958211,2732,4322
1,0,1,1,8.880849,39.5833,12.958939,3389,4363
1,0,1,2,8.184356,80.4783,12.000839,4322,1834
1,0,1,1,14.834151,61.5417,15.208129,4363,4990
1,0,1,2,8.606651,65.7083,9.708568,1834,3194
1,0,0,2,11.465849,62.125,10.792293,4990,4066
1,0,0,1,7.314151,40.3333,22.416257,3194,3423
1,0,1,1,3.436651,50.625,15.333486,4066,3333
1,0,1,1,4.141651,45.6667,13.458625,3423,3956
1,0,1,1,10.995849,51.3333,23.167193,3333,4916
1,0,1,1,16.7925,56.75,29.584721,3956,5382
1,0,1,2,11.309151,40.7083,27.7916,4916,4569
1,0,0,1,5.5125,35.0417,15.12525,5382,4118
1,0,0,1,9.001733,47.6957,14.913329,4569,4911
1,0,1,1,13.933349,48.9167,13.916771,4118,5298
1,0,1,1,18.555,61.75,15.87565,4911,5847
1,0,1,1,18.9075,50.7083,7.709154,5298,6312
1,0,1,1,18.2025,57.9583,10.042161,5847,6192
1,0,1,2,12.484151,84.2083,7.583864,6312,4378
1,0,0,2,16.165849,75.5833,7.417168,6192,7836
1,0,0,2,14.2075,81,8.501161,4378,5892
1,0,1,1,17.615,72.875,10.875239,7836,6153
1,0,1,1,18.359151,80.7917,8.125157,5892,6093
2,0,1,2,16.988349,82.125,6.0004061,6153,6230
2,0,1,1,18.045849,83.125,7.876654,6093,6871
2,0,1,2,20.278349,69.4167,7.7921,6230,8362
2,0,0,2,15.6175,88.5417,12.916461,6871,3372
2,0,0,2,12.5625,88.0833,14.791925,8362,4996
2,0,1,1,12.954151,47.7917,25.917007,3372,5558
2,0,1,1,7.196651,29,12.541864,4996,5102
2,0,1,1,14.755849,48.125,19.541957,5558,5698
2,0,1,1,15.225849,43.9167,21.41655,5102,6133
2,0,1,2,9.39,58.0833,9.250489,5698,5459
2,0,0,2,11.935849,73.8333,16.791339,6133,6235
2,0,0,2,12.014151,67.625,11.541889,5459,6041
2,0,1,1,12.393911,50.4348,20.913313,6235,5936
2,0,1,1,13.933349,39.6667,6.708911,6041,6772
2,0,1,1,17.458349,46.9583,12.125325,5936,6436
2,0,1,1,12.445,37.4167,14.708443,6772,6457
2,0,1,1,10.956651,37.7083,20.125996,6436,6460
2,0,0,1,12.5625,25.4167,18.416357,6457,6857
2,0,0,1,15.5,27.5833,15.583932,6460,5169
2,0,1,1,14.990849,31.75,23.999132,6857,5585
2,0,1,1,12.993349,43.5,16.708125,5169,5918
2,0,1,1,8.388712,46.9565,19.783358,5585,4862
2,0,1,1,10.6825,46.625,19.458743,5918,5409
2,0,1,1,12.7975,40.8333,10.416557,4862,6398
2,0,0,1,15.265,50.2917,12.791439,5409,7460
2,0,0,1,20.513349,50.7917,15.083643,6398,7132
2,1,0,1,23.215849,56.1667,19.083543,7460,6370
2,0,1,1,20.591651,39.0417,18.333143,7132,6691
2,0,1,2,13.776651,56.9167,11.250104,6370,4367
2,0,1,1,15.421651,61.25,4.4172564,6691,6565
2,0,1,1,16.753349,69.4583,10.041357,4367,7290
2,0,0,1,18.79,68.2917,19.000329,6565,6624
2,0,0,3,10.643349,83.5417,23.084582,7290,1027
2,0,1,2,7.118349,76.6667,20.334232,6624,3214
2,0,1,1,11.426651,45.4167,16.708661,1027,5633
2,0,1,1,14.403349,42.7917,7.959064,3214,6196
2,0,1,2,15.421651,75.6667,11.833875,5633,5026
2,0,1,1,13.5025,40.0833,23.291411,6196,6233
2,0,0,2,9.703349,48.9583,8.708325,5026,4220
2,0,0,1,13.541651,58.7083,7.832836,6233,6304
2,0,1,2,13.815849,57,11.499746,4220,5572
2,0,1,2,20.826651,65.9583,10.458432,6304,5740
2,0,1,1,18.515849,79.7083,9.249886,5572,6169
2,0,1,2,18.32,76.8333,8.957632,5740,6421
2,0,1,1,21.4925,73.5417,10.916846,6169,6296
2,0,0,2,21.218349,75.6667,10.250464,6421,6883
2,0,0,2,18.4375,74,10.041893,6296,6359
